song_id,song_name,artist,album,song_popularity,if_info_collected
00HH1BkCsRw2UeFqvKPhYJ,北西南風,羅大佑,家 III,5,1
00Rzybybu0alTYbCCr4oHZ,漂島,林生祥,【男人與他的海】電影原聲配樂,9,1
01JaQ2Z61XrswQrdfGk19s,What A Difference A Day Made,The Eddie Higgins Trio,Bewitched,8,1
01MXkFA8sL7at6txavDErt,Making Love Out of Nothing at All,Air Supply,All Out Of Love,70,1
01OAC6HQmlZfOyDEJawUEp,流花 - Live,袁娅维TIA RAY,中国之星 第5期 (Live),1,1
01cO3ZfjGwlY7nMDDr5tDZ,靠近一點點,Lara Liang,惡作劇之吻,42,1
01tp7K3Y1oN8MB0sjo10uY,What Is Jazz,Club des Belugas,Swop,31,1
02DfhkibQzdJC26BUvux8L,Lotta Love,Halie Loren,Heart First,7,1
02IBlc6IBouKubS9De3TWG,想着你,郭顶,飞行器的执行周期,39,1
02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,"Anderson .Paak, Bruno Mars, Silk Sonic",An Evening With Silk Sonic,77,1
031orTCxbmCjYJ99JaDtO4,Steady Me (feat. Aaron Cole),"Aaron Cole, Hollyn",Hollyn,35,1
03OArDwBMEgtTDcty84Rcp,The Last Waltz,Engelbert Humperdinck,The Last Waltz,57,1
03Z15lb0ycJssb1h0sn1Tr,分裂,王菲Faye Wong,ECO PACK-王菲-浮躁,30,1
03ensJD4vIcC4qFSqJfEOG,A Higher Place,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,45,1
04Px9lLiHlKdmxQbE3uTa5,All you are going to want to do is get back there,The Caretaker,An empty bliss beyond this World,47,1
04UWtAIMwi67MG8uHwYqgK,Joey,Concrete Blonde,Bloodletting,56,1
04d6UdEDhKzZHQJBmEPARz,浪漫主義,"Kehlani, 袁娅维TIA RAY",TIA RAY,21,1
04fnvlLNO7JQZt8mV8Nfyk,Get Lost,Breakbot,Still Waters,36,1
04snjzChzeLdD2UHrVxBfZ,Say So (feat. Evan Lin),"Doja Cat, 林彥俊",Say So (feat. Evan Lin),18,1
04tnEYbzmQ2F5JN3Flk2hP,400 Trips,Berndsen,Lover in the Dark,3,1
05PO2IrHndrVDkUvcPgbDq,痴心不改,金池,《对战最强音》南京站,4,1
05bAM9OzRcbgYPPyTKx8NM,El Pueblo Unido Jamàs Serà Vencido,"Diego Moreno, Sebastiàn Echarry & Pablo Duarte",Bella Ciao! Hasta Siempre Comandante!,0,1
05kjnMSB0wt8hF2WGnkVtB,Poker Face,Vitamin String Quartet,VSQ Performs Lady Gaga,32,1
05xjXvS4SJkO4hoiZWfIGW,Walking on Sunshine,Jazzystics,Best of the Best,45,1
06o8Hap5MXKBG7mduCZOPZ,晚霞,窦唯Dou Wei,艷陽天,11,1
06pADe7MvBlPr3rUEHgtpg,一點點,伍佰wu bai,夢的河流,11,1
06qMRF18gwbOYYbnP2du6i,Last Christmas - Single Version,Wham!,The Singles: Echoes from the Edge of Heaven,68,1
070bDNenZlWcjzZGAc2npp,Sax-A-Go-Go,Candy Dulfer,Sax-A-Go-Go,27,1
07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,"THE ANXIETY, Tyler Cole, WILLOW",THE ANXIETY,71,1
07w7uThpms6ei8LrcE4son,Love Makin' Music,Barry White,Sheet Music,42,1
08BKqZVJJrT1qD2apO3g22,Koi wa Saiko(I'M IN LOVE),高村亜留,ARU FIRST,28,1
08fbNmVL96TkrVixSJ2fRp,Wriggle - Mr Jukes Edit,"Cosmo Sheldrake, Mr Jukes",Wriggle (Mr Jukes Edit),31,1
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,Back In Black,82,1
09J3NVQcf22QNl23QPOZbe,UH,Fujiya & Miyagi,Lightbulbs,50,1
09JJY7kU531jXY90RV3M9B,Over Your Shoulder,Chromeo,White Women,31,1
0ABCxoSbKyKVULocwKXDKx,FUNNY GOLD,Suchmos,THE ASHTRAY,45,1
0AMKZWRgdFfGYYTxiWrwwH,What Am I To You?,Norah Jones,Feels Like Home,62,1
0AP3XerUHDQe79uvXevAeF,有什么奇怪,郭顶,飞行器的执行周期,22,1
0APpmQ0W4obvh6s9XCfQXw,Turkish Bath,Weldon Irvine,In Harmony,10,1
0ARK753YaiJbpLUk7z5yIM,Dilemma,"Kelly Rowland, Nelly",Nellyville,77,1
0Ai604igwEqoW2CUzQwF0y,分分鐘需要你,林忆莲Sandy Lam,陪著我走in search of lost time,38,1
0Aj8EagrPfDoOe5OlUdrLC,Candy,Cameo,Word Up,57,1
0B0tYbVp7pDQAqKDhgMeaL,Too Good to Say Goodbye,Bruno Mars,24K Magic,70,1
0BEAxYqZ57nLbDgYWuWQyn,Hot Love,LEISURE,Leisure,41,1
0BrmbJnPYcd7gnvLYqxw0r,What Kind Of Woman Is This?,Buddy Guy,Bring 'Em In,41,1
0CGpQSTo9ZvCCtcVjVAHnM,落地之前,郭顶,飞行器的执行周期,31,1
0CnlKa2jjIMzG0gLN1KZbD,It's A Wrap,Mariah Carey,Memoirs of an imperfect Angel (International Version),55,1
0CsM8VGDi38kusMv3pxyj1,True - Single Edit,Spandau Ballet,True - The Digital E.P.,66,1
0DEwNI2DgasX1eprqCivJk,A Woman Needs Love (Just Like You Do),"Ray Parker Jr., Raydio",A Woman Needs Love (Expanded Edition),45,1
0DX1VJgkvgAQrEHoXHugG7,Mind Frame,Twin Peaks,Wild Onion,11,1
0E6UrctDhjS2naBHmL10FC,自己 - Live,许钧,中国好歌曲 第二季 第4期 (Live),0,1
0EprAWzfoghfCyzkbcCw4Y,Back for More,"Cool Million, Eugene Wilde",Back for More,30,1
0F78AWB4E53yOvldzqhgBK,Unhinged,Mike Lazarev,Unhinged,43,1
0FRF4XX79zF0vMKi7QjziG,鲜花 - I'm going to remember U,回春丹,鲜花 (I'm going to remember U),47,1
0FjTazWaBSHBVWm2PAGghQ,Time,Angelo De Augustine,Tomb,55,1
0GGxVTb0UwDwdaKNjBdCn3,Woman - Remastered 2010,John Lennon,Double Fantasy: Stripped Down,69,1
0GJdlmUYa1oBqjcj93Z5GC,The Bridge On The River Kwai - The Colonel Bogey March,Malcolm Arnold,Movie Memories- Music From the Greatest Films,26,1
0GKGAolzhaL4QdNENFVxNq,好久不見 - 现场,瓦依那,樂隊的夏天3 第4期,14,1
0GO0YskrAFAhhhJ4Mz8zXC,Let It Out (Single Version) [Bonus Track],Blue Feather,Feather Funk (Deluxe Edition) [Including 3 Bonus Tracks],17,1
0GPxJ8e6xoYbmCd1eI3WVx,Figli Della Stessa Rabia,Banda Bassotti,Banditi Senza Tempo,28,1
0GVvRmCoiLkhxJvlZy9bLk,In The Still of the Night,The Five Satins,For Collectors Only,51,1
0GybTlmUNIB8Gi4Dk0aDNP,I Wanna Smile But What I Do,夏日入侵企画,I Wanna Smile But What I Do,13,1
0H9x7eRPBPbn4e9UFDeknn,灕江水,窦唯Dou Wei,幻聽山河水,14,1
0HBp2khwt6oWgkMVUUc6RD,I’m Caught Up (In A One Night Love Affair) - John Morales Unreleased M+M Breakdown Mix,"Jocelyn Brown, John Morales",Disco,18,1
0HdtWsepgBy9c1ZwscDNqU,口水流下來,卢广仲Crowd Lu,有吉他的流行歌曲,14,1
0Hm9H8k6UVsCUU7z4nUzB9,Brighter Days,Macross 82-99,Brighter Days,27,1
0I0GjLChpGQZAWMtVqIpfs,Let the Music Take Me,Patrice Rushen,Pizzazz,20,1
0I5hl7JknyIBO4SCRBuVZN,Nescience,Galdive,Canvas,23,1
0IKAJbxilT3mMp3LbhoH2l,Fashion,The Royal Concept,Smile,37,1
0IedgQjjJ8Ad4B3UDQ5Lyn,Fragments of Time (feat. Todd Edwards),"Daft Punk, Todd Edwards",Random Access Memories,58,1
