album_name,artist_name,release_year,total_tracks,Genre,Language,song_count,collection_rate(%),if_500GreatestAlbums,if_band,if_top30artists
Anthology,Mike Francis,2011,71,"Jazz, Pop, Blue-Eyed Soul",English,10,14.08,0,0,1
24K Magic,Bruno Mars,2016,9,"R&B, Funk, Pop, New Jack Swing",English,9,100,0,0,1
American Love Call,"Durand Jones & The Indications, Aaron Frazer, Durand Jones",2019,12,"R&B, Soul",English,8,66.67,0,1,1
ONCE UPON A MOON (DELUXE EDITION),"袁娅维TIA RAY, Nigel Tay",2021,12,"R&B, Soul",English,7,58.33,0,0,1
TIA RAY,"袁娅维TIA RAY, Kehlani",2018,12,"R&B, Soul",English,7,58.33,0,0,1
我愚蠢的理想主义,"阿肆A Si, Yoga Lin",2016,10,Pop,Chinese,6,60,0,0,1
T.I.A.,"袁娅维TIA RAY, 丁少華",2014,12,"R&B, Soul","Chinese, English",6,50,0,0,1
True Love,Craig Ruhnke,1983,9,"Electronic, Jazz, Funk",English,6,66.67,0,0,1
What You Won't Do for Love,Bobby Caldwell,1978,9,"R&B, Soul, Blue-Eyed Soul",English,5,55.56,0,0,1
Cracker Island,"Gorillaz, Adeleye Omotayo, Beck, Stevie Nicks, Thundercat",2023,10,"Alternative Rock, Pop",English,5,50,0,1,1
浪潮上岸（Tears In Ocean）,Orange Ocean,2019,9,Indie Rock,Chinese,4,44.44,0,1,0
飞行器的执行周期,郭顶,2016,10,"Pop, Indie Pop",Chinese,4,40,0,0,0
黑夢,窦唯Dou Wei,1994,10,"Rock, Alternative Rock",Chinese,4,40,0,0,1
Unorthodox Jukebox,Bruno Mars,2012,10,"Pop, R&B, Rock, Reggae",English,4,40,0,0,1
An Evening With Silk Sonic,"Bruno Mars, Anderson .Paak, Bootsy Collins, Silk Sonic, Thundercat",2021,10,"R&B, Soul, Funk",English,4,40,0,1,1
STONE CAFE,窦靖童Leah Dou,2017,11,"Indie Pop, Alternative Pop","Chinese, English",4,36.36,0,0,1
Geography,"Tom Misch, GoldLink, Poppy Ajudha",2018,13,"Jazz, R&B, Soul, Hip-Hop",English,4,30.77,0,0,0
It's On Tonight,"Brian Culbertson, Boney James, Will Downing",2005,13,"Contemporary Jazz, R&B",English,4,30.77,0,0,1
Straight from the Heart (Remastered),Patrice Rushen,1982,15,"R&B, Soul, Funk",English,4,26.67,0,0,1
Historical Misappropriation,"Scott Bradlee's Postmodern Jukebox, Morgan James, Von Smith",2014,15,"Vintage Pop, Jazz",English,4,26.67,0,1,1
Bad 25th Anniversary,"Michael Jackson, Siedah Garrett",2012,24,"Pop, R&B, Rock",English,4,16.67,0,0,1
Doo-Wops & Hooligans,Bruno Mars,2010,10,R&B,English,4,40,0,0,1
Fonk Delight,"Dabeull, HolyBrune, Michael Tee",2014,5,"Funk, Electronic",English,3,60,0,0,1
YOSHINO FUJIMAL (2022 Remaster),芳野藤丸,1982,8,"City Pop, Jazz Fusion",Japanese,3,37.5,0,0,0
Secrets,Brian Culbertson,1997,9,"Contemporary Jazz, R&B",Instrumental,3,33.33,0,0,1
Analog Love,"Dabeull, Dezzy Hollow, HolyBrune, Jordan Lee, Reva DeVito, Rude Jude",2024,9,"Funk, R&B, Electronic",English,3,33.33,0,0,1
春遊,"窦靖童Leah Dou, Lionman",2023,10,"Indie Pop, Alternative Pop",Chinese,3,30,0,0,1
王菲97,王菲Faye Wong,1997,10,"Pop, Alternative Rock",Chinese,3,30,0,0,1
Tuxedo II,Tuxedo,2017,11,"Funk, R&B, Disco",English,3,27.27,0,1,1
Thee Sacred Souls,Thee Sacred Souls,2022,12,"Soul, R&B",English,3,25,0,1,1
